SiteNumber,Type,LocationID,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,ARPLatitudeS,Latitude,ARPLongitudeS,Longitude,Elevation,ChartName,ActiviationDate,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights
24291.42*A,AIRPORT,86TA,ASW,TEX,TX,TEXAS,BURNET,TX,MARBLE FALLS,SLAUGHTER RANCH,PR,PR,110205.674,30.61268722,353871.086,-98.29752389,890,SAN ANTONIO,11/1/1982,,,,
24293.11*A,AIRPORT,0TA7,ASW,TEX,TX,TEXAS,PRESIDIO,TX,MARFA,ALTA VISTA RANCH,PR,PR,108539.23,30.14978611,374043.4129,-103.900948,4702,EL PASO,10/1/1980,,,,
24298.01*A,AIRPORT,TS15,ASW,TEX,TX,TEXAS,PRESIDIO,TX,MARFA,CIBOLO CREEK RANCH,PR,PR,107614.615,29.89294861,375341.7,-104.2615833,4400,EL PASO,6/1/1993,,,,
24293.14*A,AIRPORT,21TE,ASW,TEX,TX,TEXAS,ANDERSON,TX,MARFA,MACGUIRE RANCH,PR,PR,109044.96,30.29026667,374412.65,-104.0035139,4695,EL PASO,8/1/2014,,,,
24298.*A,AIRPORT,MRF,ASW,TEX,TX,TEXAS,PRESIDIO,TX,MARFA,MARFA MUNI,PU,PU,109336,30.37111111,374463.1,-104.0175278,4848,EL PASO,1/1/1947,N,N,N,Y
24293.1*A,AIRPORT,5TE1,ASW,TEX,TX,TEXAS,PRESIDIO,TX,MARFA,RAWLS RANCH,PR,PR,106704,29.64,374205,-103.9458333,4520,EL PASO,4/1/1949,,,,
24298.3*A,AIRPORT,XS05,ASW,TEX,TX,TEXAS,GUADALUPE,TX,MARION,H M RANCH,PR,PR,106555.82,29.59883889,353416.034,-98.17112056,751,SAN ANTONIO,4/1/1971,,,,
24298.32*A,AIRPORT,1TE4,ASW,TEX,TX,TEXAS,GUADALUPE,TX,MARION,ZUEHL,PR,PR,106183.833,29.49550917,353368.032,-98.15778667,592,SAN ANTONIO,6/1/1974,,,,
24298.51*H,HELIPORT,TS41,ASW,TEX,TX,TEXAS,MATAGORDA,TX,MARKHAM,STATION 24,PR,PR,104406.924,29.00192333,345840.855,-96.06690417,57,HOUSTON,12/1/1983,,,,
24298.5*A,AIRPORT,XS07,ASW,TEX,TX,TEXAS,MATAGORDA,TX,MARKHAM,W D CORNELIUS RANCH,PR,PR,104220.93,28.95025833,345815.857,-96.05996028,47,HOUSTON,2/1/1975,,,,
24299.2*A,AIRPORT,T15,ASW,TEX,TX,TEXAS,FALLS,TX,MARLIN,MARLIN,PU,PU,112826.4,31.34066667,348667.3,-96.85202778,410,HOUSTON,7/1/1960,N,N,N,N
24301.5*A,AIRPORT,TA23,ASW,TEX,TX,TEXAS,LEON,TX,MARQUEZ,MORRIS LAZY K RANCH,PR,PR,112540.647,31.26129083,346378.873,-96.21635361,360,HOUSTON,5/1/1979,,,,
24302.*A,AIRPORT,ASL,ASW,TEX,TX,TEXAS,HARRISON,TX,MARSHALL,HARRISON COUNTY,PU,PU,117073.8,32.5205,339508,-94.30777778,357,MEMPHIS,11/1/1937,N,N,N,Y
